CHN17CS001  MA101 8.5 , PH100 8 , BE100 7 , BE10105 8 , BE103 8 , EE100 6 , PH110 8.5 , EE110 8 , CS110 8.5 
CHN17CS037  MA101 0 , PH100 0 , BE100 6 , BE10105 8 , BE103 8 , EE100 6 , PH110 8.5 , EE110 8.5 , CS110 10 
CHN17CS038  MA101 0 , PH100 0 , BE100 0 , BE10105 0 , BE103 7 , EE100 6 , PH110 8 , EE110 8.5 , CS110 8.5 
CHN17CS039  MA101 7 , PH100 0 , BE100 8 , BE10105 8.5 , BE103 8.5 , EE100 8 , PH110 8 , EE110 8 , CS110 8 
CHN17CS040  MA101 8 , PH100 8.5 , BE100 8.5 , BE10105 8.5 , BE103 10 , EE100 8 , PH110 10 , EE110 8 , CS110 8.5 
CHN17CS041  MA101 8 , PH100 0 , BE100 7 , BE10105 8 , BE103 8.5 , EE100 6 , PH110 8 , EE110 8.5 , CS110 10 
CHN17CS042  MA101 6 , PH100 0 , BE100 6 , BE10105 8 , BE103 9 , EE100 6 , PH110 8 , EE110 8 , CS110 8 
CHN17CS043  MA101 0 , PH100 0 , BE100 7 , BE10105 0 , BE103 8 , EE100 6 , PH110 8 , EE110 8 , CS110 8 
CHN17CS044  MA101 8 , PH100 7 , BE100 8 , BE10105 8 , BE103 10 , EE100 7 , PH110 9 , EE110 8 , CS110 10 
CHN17CS045  MA101 0 , PH100 0 , BE100 0 , BE10105 0 , BE103 9 , EE100 6 , PH110 8 , EE110 8 , CS110 9 
CHN17CS046  MA101 0 , PH100 0 , BE100 6 , BE10105 0 , BE103 6 , EE100 6 , PH110 8 , EE110 8 , CS110 8 
CHN17CS047  MA101 0 , PH100 0 , BE100 0 , BE10105 7 , BE103 8.5 , EE100 0 , PH110 8 , EE110 8 , CS110 8 
CHN17CS048  MA101 7 , PH100 7 , BE100 10 , BE10105 9 , BE103 10 , EE100 8.5 , PH110 8.5 , EE110 8 , CS110 10 
CHN17CS049  MA101 8 , PH100 9 , BE100 7 , BE10105 10 , BE103 9 , EE100 8 , PH110 9 , EE110 9 , CS110 8 
CHN17CS050  MA101 7 , PH100 7 , BE100 7 , BE10105 6 , BE103 8 , EE100 6 , PH110 9 , EE110 9 , CS110 8 
CHN17CS051  MA101 7 , PH100 7 , BE100 8 , BE10105 8 , BE103 8.5 , EE100 7 , PH110 9 , EE110 7 , CS110 10 
CHN17CS052  MA101 0 , PH100 0 , BE100 0 , BE10105 8 , BE103 8 , EE100 5 , PH110 8 , EE110 9 , CS110 10 
CHN17CS053  MA101 10 , PH100 8 , BE100 8.5 , BE10105 7 , BE103 8.5 , EE100 9 , PH110 10 , EE110 9 , CS110 10 
CHN17CS054  MA101 7 , PH100 7 , BE100 0 , BE10105 8 , BE103 8 , EE100 7 , PH110 8 , EE110 8 , CS110 10 
CHN17CS055  MA101 0 , PH100 6 , BE100 7 , BE10105 6 , BE103 8.5 , EE100 6 , PH110 8.5 , EE110 8 , CS110 10 
CHN17CS056  MA101 0 , PH100 7 , BE100 0 , BE10105 7 , BE103 8.5 , EE100 6 , PH110 8.5 , EE110 8 , CS110 8 
CHN17CS057  MA101 8 , PH100 8 , BE100 8 , BE10105 8.5 , BE103 9 , EE100 8 , PH110 9 , EE110 8.5 , CS110 10 
CHN17CS058  MA101 7 , PH100 8 , BE100 7 , BE10105 8 , BE103 9 , EE100 7 , PH110 8.5 , EE110 8 , CS110 10 
CHN17CS059  MA101 8 , PH100 8 , BE100 5 , BE10105 7 , BE103 8 , EE100 7 , PH110 8.5 , EE110 8.5 , CS110 8 
CHN17CS060  MA101 7 , PH100 7 , BE100 0 , BE10105 8 , BE103 8.5 , EE100 6 , PH110 8 , EE110 8.5 , CS110 10 
CHN17CS061  MA101 7 , PH100 7 , BE100 7 , BE10105 8 , BE103 8 , EE100 7 , PH110 9 , EE110 10 , CS110 8.5 
CHN17CS062  MA101 9 , PH100 8 , BE100 7 , BE10105 8 , BE103 7 , EE100 7 , PH110 9 , EE110 8.5 , CS110 8 
CHN17CS063  MA101 8 , PH100 8 , BE100 7 , BE10105 7 , BE103 9 , EE100 7 , PH110 8.5 , EE110 8.5 , CS110 10 
CHN17CS064  MA101 8 , PH100 8 , BE100 7 , BE10105 8 , BE103 7 , EE100 6 , PH110 10 , EE110 7 , CS110 10 
CHN17CS065  MA101 0 , PH100 0 , BE100 0 , BE10105 0 , BE103 7 , EE100 0 , PH110 8 , EE110 8 , CS110 6 
CHN17CS066  MA101 0 , PH100 6 , BE100 6 , BE10105 7 , BE103 8.5 , EE100 7 , PH110 8 , EE110 8 , CS110 7 
CHN17CS067  MA101 7 , PH100 7 , BE100 6 , BE10105 8 , BE103 8 , EE100 7 , PH110 8.5 , EE110 8 , CS110 8 
CHN17CS068  MA101 7 , PH100 8 , BE100 7 , BE10105 6 , BE103 8 , EE100 7 , PH110 8.5 , EE110 8 , CS110 9 
CHN17CS069  MA101 8 , PH100 8.5 , BE100 8 , BE10105 8.5 , BE103 9 , EE100 7 , PH110 8.5 , EE110 8 , CS110 10 
CHN17CS070  MA101 8.5 , PH100 8.5 , BE100 8 , BE10105 6 , BE103 10 , EE100 7 , PH110 10 , EE110 9 , CS110 9 
CHN17CS071  MA101 0 , PH100 0 , BE100 0 , BE10105 7 , BE103 6 , EE100 6 , PH110 8 , EE110 8 , CS110 10 
CHN17CS072  MA101 0 , PH100 7 , BE100 0 , BE10105 6 , BE103 6 , EE100 6 , PH110 8 , EE110 7 , CS110 8 
CHN17CS073  MA101 0 , PH100 0 , BE100 0 , BE10105 0 , BE103 7 , EE100 0 , PH110 8 , EE110 8 , CS110 7 
CHN17CS074  MA101 0 , PH100 0 , BE100 0 , BE10105 0 , BE103 8 , EE100 0 , PH110 8 , EE110 8 , CS110 9 
CHN17CS075  MA101 7 , PH100 7 , BE100 6 , BE10105 6 , BE103 8 , EE100 5 , PH110 8.5 , EE110 8 , CS110 9 
CHN17CS076  MA101 0 , PH100 7 , BE100 6 , BE10105 0 , BE103 6 , EE100 5 , PH110 8 , EE110 8.5 , CS110 8.5 
CHN17CS077  MA101 8 , PH100 8.5 , BE100 8 , BE10105 8.5 , BE103 8 , EE100 7 , PH110 9 , EE110 8 , CS110 10 
CHN17CS078  MA101 0 , PH100 0 , BE100 0 , BE10105 0 , BE103 6 , EE100 0 , PH110 8 , EE110 8 , CS110 8 
CHN17CS079  MA101 9 , PH100 8 , BE100 8 , BE10105 8 , BE103 8 , EE100 7 , PH110 9 , EE110 8.5 , CS110 10 
CHN17CS080  MA101 8 , PH100 7 , BE100 8 , BE10105 9 , BE103 8 , EE100 7 , PH110 8.5 , EE110 9 , CS110 10 
CHN17CS081  MA101 8 , PH100 6 , BE100 6 , BE10105 8 , BE103 7 , EE100 0 , PH110 8.5 , EE110 7 , CS110 7 
CHN17CS082  MA101 6 , PH100 0 , BE100 0 , BE10105 6 , BE103 8 , EE100 6 , PH110 8 , EE110 8 , CS110 9 
CHN17CS083  MA101 7 , PH100 6 , BE100 6 , BE10105 7 , BE103 7 , EE100 6 , PH110 8.5 , EE110 8 , CS110 10 
CHN17CS084  MA101 7 , PH100 7 , BE100 6 , BE10105 8 , BE103 8 , EE100 7 , PH110 9 , EE110 8 , CS110 8.5 
CHN17CS085  MA101 8.5 , PH100 10 , BE100 10 , BE10105 7 , BE103 8 , EE100 8 , PH110 9 , EE110 8 , CS110 10 
CHN17CS086  MA101 0 , PH100 0 , BE100 0 , BE10105 7 , BE103 7 , EE100 6 , PH110 9 , EE110 8.5 , CS110 8.5 
CHN17CS087  MA101 6 , PH100 7 , BE100 6 , BE10105 8.5 , BE103 8 , EE100 7 , PH110 9 , EE110 8 , CS110 8.5 
CHN17CS088  MA101 0 , PH100 0 , BE100 0 , BE10105 8 , BE103 8 , EE100 6 , PH110 8 , EE110 8 , CS110 10 
CHN17CS089  MA101 8.5 , PH100 6 , BE100 7 , BE10105 6 , BE103 6 , EE100 0 , PH110 8.5 , EE110 7 , CS110 10 
CHN17CS090  MA101 0 , PH100 5 , BE100 0 , BE10105 8 , BE103 8 , EE100 6 , PH110 8 , EE110 9 , CS110 10 
CHN17CS091  MA101 8 , PH100 9 , BE100 8 , BE10105 8.5 , BE103 8 , EE100 7 , PH110 9 , EE110 8 , CS110 9 
CHN17CS092  MA101 0 , PH100 7 , BE100 0 , BE10105 6 , BE103 7 , EE100 7 , PH110 9 , EE110 8 , CS110 8 
CHN17CS093  MA101 9 , PH100 6 , BE100 8 , BE10105 9 , BE103 7 , EE100 6 , PH110 8.5 , EE110 8 , CS110 9 
CHN17CS094  MA101 8 , PH100 8 , BE100 7 , BE10105 9 , BE103 8 , EE100 8 , PH110 9 , EE110 8 , CS110 10 
CHN17CS095  MA101 6 , PH100 8 , BE100 8 , BE10105 8 , BE103 8.5 , EE100 8 , PH110 9 , EE110 10 , CS110 10 
CHN17CS096  MA101 7 , PH100 6 , BE100 5 , BE10105 7 , BE103 8 , EE100 0 , PH110 9 , EE110 8.5 , CS110 8.5 
CHN17CS097  MA101 8.5 , PH100 8.5 , BE100 9 , BE10105 10 , BE103 8.5 , EE100 8.5 , PH110 9 , EE110 8 , CS110 10 
CHN17CS098  MA101 10 , PH100 10 , BE100 8.5 , BE10105 8.5 , BE103 10 , EE100 8.5 , PH110 10 , EE110 8.5 , CS110 7 
CHN17CS099  MA101 8 , PH100 7 , BE100 6 , BE10105 8 , BE103 8 , EE100 0 , PH110 9 , EE110 8 , CS110 8.5 
CHN17CS100  MA101 0 , PH100 7 , BE100 7 , BE10105 7 , BE103 7 , EE100 7 , PH110 9 , EE110 9 , CS110 8.5 
CHN17CS101  MA101 0 , PH100 7 , BE100 7 , BE10105 7 , BE103 8 , EE100 5 , PH110 9 , EE110 9 , CS110 10 
CHN17CS102  MA101 7 , PH100 6 , BE100 7 , BE10105 0 , BE103 8 , EE100 5 , PH110 9 , EE110 8 , CS110 7 
CHN17CS103  MA101 7 , PH100 8 , BE100 8 , BE10105 8 , BE103 8.5 , EE100 7 , PH110 9 , EE110 8 , CS110 10 
CHN17CS104  MA101 7 , PH100 7 , BE100 6 , BE10105 9 , BE103 9 , EE100 6 , PH110 9 , EE110 8 , CS110 10 
CHN17CS105  MA101 7 , PH100 7 , BE100 7 , BE10105 7 , BE103 8 , EE100 7 , PH110 9 , EE110 7 , CS110 8 
CHN17CS106  MA101 7 , PH100 6 , BE100 0 , BE10105 0 , BE103 7 , EE100 5 , PH110 8 , EE110 9 , CS110 10 
CHN17CS107  MA101 0 , PH100 0 , BE100 0 , BE10105 0 , BE103 7 , EE100 0 , PH110 8 , EE110 8 , CS110 8 
CHN17CS108  MA101 8 , PH100 8 , BE100 6 , BE10105 6 , BE103 8 , EE100 7 , PH110 8.5 , EE110 8 , CS110 8 
CHN17CS109  MA101 0 , PH100 0 , BE100 0 , BE10105 0 , BE103 6 , EE100 0 , PH110 8 , EE110 8.5 , CS110 8 
CHN17CS110  MA101 6 , PH100 8 , BE100 6 , BE10105 6 , BE103 8.5 , EE100 7 , PH110 8.5 , EE110 8 , CS110 8.5 
CHN17CS111  MA101 7 , PH100 8 , BE100 0 , BE10105 9 , BE103 9 , EE100 7 , PH110 9 , EE110 8 , CS110 9 
CHN17CS112  MA101 8 , PH100 8 , BE100 6 , BE10105 6 , BE103 8 , EE100 7 , PH110 9 , EE110 8.5 , CS110 8 
CHN17CS113  MA101 0 , PH100 7 , BE100 7 , BE10105 6 , BE103 8 , EE100 6 , PH110 8 , EE110 9 , CS110 8 
CHN17CS114  MA101 7 , PH100 8 , BE100 7 , BE10105 6 , BE103 8 , EE100 7 , PH110 9 , EE110 8 , CS110 10 
CHN17CS115  MA101 7 , PH100 8 , BE100 8.5 , BE10105 8 , BE103 8.5 , EE100 7 , PH110 10 , EE110 9 , CS110 10 
CHN17CS116  MA101 0 , PH100 8.5 , BE100 7 , BE10105 8.5 , BE103 9 , EE100 7 , PH110 10 , EE110 8 , CS110 10 
CHN17CS117  MA101 8 , PH100 7 , BE100 7 , BE10105 8 , BE103 8.5 , EE100 6 , PH110 10 , EE110 9 , CS110 10 
CHN17CS118  MA101 7 , PH100 8.5 , BE100 8.5 , BE10105 6 , BE103 8 , EE100 8 , PH110 10 , EE110 10 , CS110 10 
CHN17CS119  MA101 0 , PH100 6 , BE100 0 , BE10105 7 , BE103 7 , EE100 6 , PH110 9 , EE110 8 , CS110 10 
CHN17CS120  MA101 0 , PH100 0 , BE100 0 , BE10105 0 , BE103 8 , EE100 6 , PH110 8.5 , EE110 8 , CS110 8  
